,,Price,No,,,,,,,,
,INV13437," ?17,204,271.00 ",13437,,,,,,,,
,Invoice 13944," ?529,124.00 ",13944,,,,,,,,
,Invoice 13945," ?52,113.50 ",13945,,,,,,,,
,INV13966," ?8,955.13 ",13966,,,,,,,,
,13997," ?64,500.00 ",13997,,,,,,,,
=--INW13418,0," ?18,346,346.00 ",13418,,,,,,,,
=--INW13458,0," ?20,349,405.00 ",13458,,,,,,,,
=--INW13461,0," ?908,498.00 ",13461,,,,,,,,
=--INW13523,0," ?576,185.00 ",13523,,,,,,,,
=--INW13573,0," ?1,700,396.00 ",13573,,,,,,,,
=--INW13579,0," ?620,275.00 ",13579,,,,,,,,
=--INW13603,0," ?368,334.00 ",13603,,,,,,,," ?9,641,208.00 "
=--INW13637,0," ?18,019,049.00 ",13637,,,,,,,,
=--INW13657,0," ?17,969,330.00 ",13657,,,,,,,,
=--INW13719,0," ?629,376.00 ",13719,,,,,,,,
=--INW13731,0," ?255,374.00 ",13731,,,,,,,,
=--INW13777,0," ?400,813.50 ",13777,,,,,,,,
=--INW13785,0," ?23,357,379.00 ",13785,,,,,,,,
=--INW13793,0," ?126,862.50 ",13793,,,,,,,,
=--INW13807,0," ?515,375.00 ",13807,,,,,,,,
=---INW13971,0," ?134,643.75 ",13971,,,,,,,,
=---INW13972,0," ?97,611.50 ",13972,,,,,,,,
=---INW13980,0," ?46,612.50 ",13980,,,,,,,,
=---13981,-13981," ?1,753,023.00 ",13981,,,,,,,,
=---13998,-13998," ?163,475.00 ",13998,,,,,,,,
=--INW14109,0," ?367,153.00 ",14109,,,,,,,,
